sample_id	library_type	library_id	file_type	file	bytes	path	notes
08S836T	illumina_wgss	A63302	bwa_aligned	08S836T_A63302_2_lanes_hg19_dupsFlagged.bam	131247771000	/share/lustre/archive/08S836T/illumina_wgss/A63302/bwa_aligned/08S836T_A63302_2_lanes_hg19_dupsFlagged.bam	
10S14309B	illumina_wgss	A63306	bwa_aligned	10S14309B_A63306_1_lane_dupsFlagged.bam	61706173742	/share/lustre/archive/10S14309B/illumina_wgss/A63306/bwa_aligned/10S14309B_A63306_1_lane_dupsFlagged.bam	
10S14309T	illumina_wgss	A63301	bwa_aligned	10S14309T_A63301_2_lanes_hg19_dupsFlagged.bam	130039363140	/share/lustre/archive/10S14309T/illumina_wgss/A63301/bwa_aligned/10S14309T_A63301_2_lanes_hg19_dupsFlagged.bam	
10S2141B	illumina_wgss	A63304	bwa_aligned	A63304_10S2141B_dupsFlagged.bam	61955099500	/share/lustre/archive/10S2141B/illumina_wgss/A63304/bwa_aligned/A63304_10S2141B_dupsFlagged.bam	
10S2141T	illumina_wgss	A63299	bwa_aligned	10S2141T_A63299_2_lanes_hg19_dupsFlagged.bam	138251848917	/share/lustre/archive/10S2141T/illumina_wgss/A63299/bwa_aligned/10S2141T_A63299_2_lanes_hg19_dupsFlagged.bam	
556350-N	illumina_wgss	A50805	bwa_aligned	A50805_2_lanes_dupsFlagged.bam	89176471511	/share/lustre/archive/556350-N/illumina_wgss/A50805/bwa_aligned/hg19a/A50805_2_lanes_dupsFlagged.bam	hg19a
556350-T	illumina_wgss	A50798	bwa_aligned	A50798_4_lanes_dupsFlagged.bam	167841284710	/share/lustre/archive/556350-T/illumina_wgss/A50798/bwa_aligned/hg19a/A50798_4_lanes_dupsFlagged.bam	hg19a
556350-T	illumina_wtss	A50798	bwa_aligned	C6PDTANXX_2_GCCAAT_withJunctionsOnGenome_dupsFlagged.bam	8989901548	/share/lustre/archive/556350-T/illumina_wtss/A50798/bwa_aligned/C6PDTANXX_2_GCCAAT_withJunctionsOnGenome_dupsFlagged.bam	
556350-T	illumina_wtss	A50798	star_aligned	TASK_SAMTOOLS_RMDUP_T556350_star_fixmate_sort_rmdup.bam	5935882575	/share/lustre/archive/556350-T/illumina_wtss/A50798/star_aligned/TASK_SAMTOOLS_RMDUP_T556350_star_fixmate_sort_rmdup.bam	
586541-N	illumina_wgss	A50806	bwa_aligned	A50806_2_lanes_dupsFlagged.bam	80742884592	/share/lustre/archive/586541-N/illumina_wgss/A50806/bwa_aligned/hg19a/A50806_2_lanes_dupsFlagged.bam	hg19a
