sample_id	library_type	library_id	file_type	file	bytes	path	notes
A06697	illumina_amplicon	A06697	sequence	A06697_A06697_Run132669-AACTTGA_S15_L001_R1_001.fastq.gz	32538324	/share/lustre/archive/A06697/illumina_amplicon/A06697/sequence/A06697_A06697_Run132669-AACTTGA_S15_L001_R1_001.fastq.gz	
A06697	illumina_amplicon	A06697	sequence	A06697_A06697_Run132669-AACTTGA_S15_L001_R2_001.fastq.gz	40462743	/share/lustre/archive/A06697/illumina_amplicon/A06697/sequence/A06697_A06697_Run132669-AACTTGA_S15_L001_R2_001.fastq.gz	
A06697	illumina_amplicon	A06697	sequence	A06697_A06697_Run134087-AACTTGA_S13_L001_R1_001.fastq.gz	45892691	/share/lustre/archive/A06697/illumina_amplicon/A06697/sequence/A06697_A06697_Run134087-AACTTGA_S13_L001_R1_001.fastq.gz	
A06697	illumina_amplicon	A06697	sequence	A06697_A06697_Run134087-AACTTGA_S13_L001_R2_001.fastq.gz	54105364	/share/lustre/archive/A06697/illumina_amplicon/A06697/sequence/A06697_A06697_Run134087-AACTTGA_S13_L001_R2_001.fastq.gz	
A06698	illumina_amplicon	A06698	sequence	A06698_A06698_Run132669-AGTTCCA_S12_L001_R1_001.fastq.gz	60462420	/share/lustre/archive/A06698/illumina_amplicon/A06698/sequence/A06698_A06698_Run132669-AGTTCCA_S12_L001_R1_001.fastq.gz	
A06698	illumina_amplicon	A06698	sequence	A06698_A06698_Run132669-AGTTCCA_S12_L001_R2_001.fastq.gz	73927428	/share/lustre/archive/A06698/illumina_amplicon/A06698/sequence/A06698_A06698_Run132669-AGTTCCA_S12_L001_R2_001.fastq.gz	
A06698	illumina_amplicon	A06698	sequence	A06698_A06698_Run134087-AGTTCCA_S10_L001_R1_001.fastq.gz	87124727	/share/lustre/archive/A06698/illumina_amplicon/A06698/sequence/A06698_A06698_Run134087-AGTTCCA_S10_L001_R1_001.fastq.gz	
A06698	illumina_amplicon	A06698	sequence	A06698_A06698_Run134087-AGTTCCA_S10_L001_R2_001.fastq.gz	102939802	/share/lustre/archive/A06698/illumina_amplicon/A06698/sequence/A06698_A06698_Run134087-AGTTCCA_S10_L001_R2_001.fastq.gz	
A06699	illumina_amplicon	A06699	sequence	A06699_A06699_Run132669-CGATGTA_S13_L001_R1_001.fastq.gz	58835894	/share/lustre/archive/A06699/illumina_amplicon/A06699/sequence/A06699_A06699_Run132669-CGATGTA_S13_L001_R1_001.fastq.gz	
A06699	illumina_amplicon	A06699	sequence	A06699_A06699_Run132669-CGATGTA_S13_L001_R2_001.fastq.gz	72741998	/share/lustre/archive/A06699/illumina_amplicon/A06699/sequence/A06699_A06699_Run132669-CGATGTA_S13_L001_R2_001.fastq.gz	
A06699	illumina_amplicon	A06699	sequence	A06699_A06699_Run134087-CGATGTA_S11_L001_R1_001.fastq.gz	89012786	/share/lustre/archive/A06699/illumina_amplicon/A06699/sequence/A06699_A06699_Run134087-CGATGTA_S11_L001_R1_001.fastq.gz	
A06699	illumina_amplicon	A06699	sequence	A06699_A06699_Run134087-CGATGTA_S11_L001_R2_001.fastq.gz	104852821	/share/lustre/archive/A06699/illumina_amplicon/A06699/sequence/A06699_A06699_Run134087-CGATGTA_S11_L001_R2_001.fastq.gz	
A06701	illumina_amplicon	A06701	sequence	A06701_A06701_Run132669-CAACTAA_S18_L001_R1_001.fastq.gz	32229898	/share/lustre/archive/A06701/illumina_amplicon/A06701/sequence/A06701_A06701_Run132669-CAACTAA_S18_L001_R1_001.fastq.gz	
A06701	illumina_amplicon	A06701	sequence	A06701_A06701_Run132669-CAACTAA_S18_L001_R2_001.fastq.gz	40318299	/share/lustre/archive/A06701/illumina_amplicon/A06701/sequence/A06701_A06701_Run132669-CAACTAA_S18_L001_R2_001.fastq.gz	
A06701	illumina_amplicon	A06701	sequence	A06701_A06701_Run134087-CAACTAA_S16_L001_R1_001.fastq.gz	50295783	/share/lustre/archive/A06701/illumina_amplicon/A06701/sequence/A06701_A06701_Run134087-CAACTAA_S16_L001_R1_001.fastq.gz	
A06701	illumina_amplicon	A06701	sequence	A06701_A06701_Run134087-CAACTAA_S16_L001_R2_001.fastq.gz	60182781	/share/lustre/archive/A06701/illumina_amplicon/A06701/sequence/A06701_A06701_Run134087-CAACTAA_S16_L001_R2_001.fastq.gz	
A06702	illumina_amplicon	A06702	sequence	A06702_A06702_Run132669-AGGCCGA_S17_L001_R1_001.fastq.gz	39794261	/share/lustre/archive/A06702/illumina_amplicon/A06702/sequence/A06702_A06702_Run132669-AGGCCGA_S17_L001_R1_001.fastq.gz	
A06702	illumina_amplicon	A06702	sequence	A06702_A06702_Run132669-AGGCCGA_S17_L001_R2_001.fastq.gz	50260643	/share/lustre/archive/A06702/illumina_amplicon/A06702/sequence/A06702_A06702_Run132669-AGGCCGA_S17_L001_R2_001.fastq.gz	
A06702	illumina_amplicon	A06702	sequence	A06702_A06702_Run134087-AGGCCGA_S15_L001_R1_001.fastq.gz	50466153	/share/lustre/archive/A06702/illumina_amplicon/A06702/sequence/A06702_A06702_Run134087-AGGCCGA_S15_L001_R1_001.fastq.gz	
A06702	illumina_amplicon	A06702	sequence	A06702_A06702_Run134087-AGGCCGA_S15_L001_R2_001.fastq.gz	60541609	/share/lustre/archive/A06702/illumina_amplicon/A06702/sequence/A06702_A06702_Run134087-AGGCCGA_S15_L001_R2_001.fastq.gz	
A06703	illumina_amplicon	A06703	sequence	A06703_A06703_Run131079-ATCACGA_S1_L001_R1_001.fastq.gz	555481547	/share/lustre/archive/A06703/illumina_amplicon/A06703/sequence/A06703_A06703_Run131079-ATCACGA_S1_L001_R1_001.fastq.gz	
A06703	illumina_amplicon	A06703	sequence	A06703_A06703_Run131079-ATCACGA_S1_L001_R2_001.fastq.gz	665365004	/share/lustre/archive/A06703/illumina_amplicon/A06703/sequence/A06703_A06703_Run131079-ATCACGA_S1_L001_R2_001.fastq.gz	
A06704	illumina_amplicon	A06704	sequence	A06704_A06704_Run131079-GATCAGA_S2_L001_R1_001.fastq.gz	581299954	/share/lustre/archive/A06704/illumina_amplicon/A06704/sequence/A06704_A06704_Run131079-GATCAGA_S2_L001_R1_001.fastq.gz	
A06704	illumina_amplicon	A06704	sequence	A06704_A06704_Run131079-GATCAGA_S2_L001_R2_001.fastq.gz	704303952	/share/lustre/archive/A06704/illumina_amplicon/A06704/sequence/A06704_A06704_Run131079-GATCAGA_S2_L001_R2_001.fastq.gz	
A06706	illumina_amplicon	A06706	sequence	A06706_A06706_Run133679-CAGGCGA_S55_L001_R1_001.fastq.gz	20008339	/share/lustre/archive/A06706/illumina_amplicon/A06706/sequence/A06706_A06706_Run133679-CAGGCGA_S55_L001_R1_001.fastq.gz	
A06706	illumina_amplicon	A06706	sequence	A06706_A06706_Run133679-CAGGCGA_S55_L001_R2_001.fastq.gz	26924946	/share/lustre/archive/A06706/illumina_amplicon/A06706/sequence/A06706_A06706_Run133679-CAGGCGA_S55_L001_R2_001.fastq.gz	
A06707	illumina_amplicon	A06707	sequence	A06707_A06707_Run132669-ATGTCAA_S24_L001_R1_001.fastq.gz	38047228	/share/lustre/archive/A06707/illumina_amplicon/A06707/sequence/A06707_A06707_Run132669-ATGTCAA_S24_L001_R1_001.fastq.gz	
A06707	illumina_amplicon	A06707	sequence	A06707_A06707_Run132669-ATGTCAA_S24_L001_R2_001.fastq.gz	47576258	/share/lustre/archive/A06707/illumina_amplicon/A06707/sequence/A06707_A06707_Run132669-ATGTCAA_S24_L001_R2_001.fastq.gz	
A06707	illumina_amplicon	A06707	sequence	A06707_A06707_Run134087-ATGTCAA_S21_L001_R1_001.fastq.gz	59778898	/share/lustre/archive/A06707/illumina_amplicon/A06707/sequence/A06707_A06707_Run134087-ATGTCAA_S21_L001_R1_001.fastq.gz	
A06707	illumina_amplicon	A06707	sequence	A06707_A06707_Run134087-ATGTCAA_S21_L001_R2_001.fastq.gz	69452659	/share/lustre/archive/A06707/illumina_amplicon/A06707/sequence/A06707_A06707_Run134087-ATGTCAA_S21_L001_R2_001.fastq.gz	
A06709	illumina_amplicon	A06709	sequence	A06709_A06709_Run132669-ACCGGCA_S16_L001_R1_001.fastq.gz	35805418	/share/lustre/archive/A06709/illumina_amplicon/A06709/sequence/A06709_A06709_Run132669-ACCGGCA_S16_L001_R1_001.fastq.gz	
A06709	illumina_amplicon	A06709	sequence	A06709_A06709_Run132669-ACCGGCA_S16_L001_R2_001.fastq.gz	43318161	/share/lustre/archive/A06709/illumina_amplicon/A06709/sequence/A06709_A06709_Run132669-ACCGGCA_S16_L001_R2_001.fastq.gz	
A06709	illumina_amplicon	A06709	sequence	A06709_A06709_Run134087-ACCGGCA_S14_L001_R1_001.fastq.gz	57962441	/share/lustre/archive/A06709/illumina_amplicon/A06709/sequence/A06709_A06709_Run134087-ACCGGCA_S14_L001_R1_001.fastq.gz	
